name,bus,control,p_nom,p_set,carrier,sub_dist,road_dist
Apsuwa I HEP,Arun_400,Slack,23,23,Hydro,10.2814440149672,8.70319419598615
Aayu Malun Khola Hydro-Electric Project,Okhaldunga_132,PV,21,21,Hydro,12.4258108671688,0.405553868571101
Chujung Khola HEP,U_Arun_400,PV,48,48,Hydro,19.8301175100216,0.212139361012124
Dudhkoshi 10 HEP,Dudhkoshi_4_400,PV,75,75,Hydro,6.6546861819767,1.04568340857143
Dudhkoshi-6 HEP,Dudhkoshi_4_400,PV,83,83,Hydro,5.75468882859232,1.58555762962827
Ghunsa Khola HPP,Tamor_220,PV,71.5,71.5,Hydro,4.78443112566714,4.16007686776938
Ghunsa-Tamor HPP,Tamor_220,PV,43,43,Hydro,1.1056252064259,0.469874595790083
Hongu Khola HPP,Inkhu_132,PV,21.87,21.87,Hydro,23.0530128680707,7.00319064720128
Ikhuwa Khola HEP,U_Arun_400,PV,30,30,Hydro,4.73071321408214,4.71510439173246
Isuwa Khola Hydropower Project,Arun_400,PV,97.2,97.2,Hydro,1.97381634964053,1.00771117369891
Kabeli B - 1,Pinaseghat_LILO_132,PV,25,25,Hydro,2.20239528576024,5.50908507900919
Kabeli-3 HEP,Pinaseghat_LILO_132,PV,21.93,21.93,Hydro,7.91421260621594,2.16427266646967
Kabeli-A,Kabeli_132,PV,37.6,37.6,Hydro,4.05438753451607,3.58699965880529
Kasuwa Khola HPP,U_Arun_400,PV,45,45,Hydro,12.6978778064853,0.632293180301126
Lower Hewa,Phidim_132,PV,21.6,21.6,Hydro,3.60714462688494,0.435161615271198
Lower Isuwa Khola HPP,Arun_400,PV,37.7,37.7,Hydro,7.61970599690014,0.570381918909132
Lower Solu Hydropower Project,Tingla_400,PV,82,82,Hydro,2.13879931799215,7.51709973891589
Luja Khola HPP,Dudhkoshi_4_400,PV,24.8,24.8,Hydro,2.40986027198261,3.75093375903521
Mewa khola HPP,Mewa_400,PV,23,23,Hydro,3.16815741867165,0.107614101836571
Mewa Khola Hydropower project,Mewa_400,PV,50,50,Hydro,1.00651854714204,2.5163696895443
Middle Hongu Khola B HPP,Inkhu_132,PV,22.9,22.9,Hydro,12.7116266888168,8.33529413258909
Middle Hongukhola A Hydropower Project,Inkhu_132,PV,22,22,Hydro,20.0909613701447,7.44100135311769
Middle Mewa HPP,Mewa_400,PV,49,49,Hydro,0.448941914705675,1.21851362726447
Middle Tamor,Hangpang_400,PV,54,54,Hydro,17.6358199737365,2.99360290440252
Palun khola small Hydropower Project,Mewa_400,PV,21,21,Hydro,1.99670505892187,1.89166402318595
Simbuwa Khola Hydroelectric Project,Tamor_220,PV,53.7,53.7,Hydro,4.25715871824555,3.52737962263926
Solu Hydropower Project,Tingla_400,PV,23.5,23.5,Hydro,2.11396838916445,5.71516352270677
Solu Khola (Dudha Koshi),Tingla_400,PV,86,86,Hydro,11.5513954910564,4.13999011550185
Super Inkhu Khola,Dudhkoshi_4_400,PV,22.12,22.12,Hydro,19.5504629801577,7.21835045853317
Tamor Khola-5 HEP,Tamor_220,PV,40,40,Hydro,1.37727592509212,0.206681175426582
Upper Apsuwa HEP,Arun_400,PV,24.6,24.6,Hydro,5.74176753491303,5.67539959733951
Upper Barunkhola HEP,U_Arun_400,PV,55,55,Hydro,13.6460015298331,7.45062492560794
Upper Inkhu Khola HEP,Dudhkoshi_4_400,PV,24.22,24.22,Hydro,16.986190123117,5.51672024576499
Upper Isuwa,Arun_400,PV,24.3,24.3,Hydro,2.37730362430515,3.60631479851444
Upper Kabeli HPP,Pinaseghat_LILO_132,PV,22.9,22.9,Hydro,5.7003095300481,0.375298020813045
Upper Mewa Khola -A HPP,Mewa_400,PV,28.22,28.22,Hydro,0.93301568166473,0.966713617788132
Upper Sankhuwa Khola HEP,Sitalpati_220,PV,24,24,Hydro,17.7098764222017,8.76761157974273
Upper Simbuwa Khola HPP,Tamor_220,PV,46.81,46.81,Hydro,13.7922301961428,5.13758922385429
Upper Tamor A HPP,Tamor_220,PV,72,72,Hydro,5.8140719307184,0.119152242729835
Upper Tamor HEP,Tamor_220,PV,32.5,32.5,Hydro,1.01099602540484,0.521485875436718
solar_site_0,Kataiya_400,PV,17.55,17.55,Solar,1.14299782660059,4.71192484918482
solar_site_1,Bhadrapur_132,PV,24.707815386813,24.707815386813,Solar,3.10181132559773,0.0890952164595222
solar_site_2,Kataiya_400,PV,20.547,20.547,Solar,3.80495140834805,0.858075773785017
solar_site_3,Duhabi_132,PV,21.114,21.114,Solar,20.8490574226791,0.0366267101055298
solar_site_4,Kataiya_400,PV,16.713,16.713,Solar,2.44427179677081,4.36004892640979
solar_site_5,Duhabi_132,PV,15.1584625741687,15.1584625741687,Solar,30.5458911765519,0.175481418487504
solar_site_6,Damak_400,PV,25.4358213908887,25.4358213908887,Solar,20.2485459181576,0.027274666100442
solar_site_7,Damak_400,PV,15.093,15.093,Solar,1.13849969643695,0.176505866673329
solar_site_8,Damak_400,PV,18.414,18.414,Solar,2.88622853578589,0.145273984837524
solar_site_9,Anarmani_132,PV,37.557,37.557,Solar,19.7566567664473,0.364623690907002
solar_site_10,Inaruwa_400,PV,18.63,18.63,Solar,20.3254706109762,2.12595520976
solar_site_11,Inaruwa_400,PV,46.062,46.062,Solar,18.9084344431227,3.72358329762982
solar_site_12,Inaruwa_400,PV,25.9993399887339,25.9993399887339,Solar,24.914437300515,5.77797873151667
solar_site_13,Damak_400,PV,35.964,35.964,Solar,13.2302897648422,0.437781423770294
solar_site_14,Itahari_132,PV,16.065,16.065,Solar,14.9502576376327,3.04776957659358
solar_site_15,Lahan_132,PV,29.673,29.673,Solar,13.7165083850511,0.139845863056888
solar_site_16,Dudhkoshi_400,PV,33.642,33.642,Solar,7.39140578689951,1.23800117945031
solar_site_17,Basantapur_220,PV,39.906,39.906,Solar,4.54831599128553,0.212392916541631
solar_site_18,Tingla_400,PV,22.302,22.302,Solar,6.78657936107556,1.39130750942927
solar_site_19,Tingla_400,PV,19.602,19.602,Solar,21.0451155759877,2.252709423634
