name,bus0,bus1,length,v_nom,carrier,x,r
Tingla- Inkhu,Tingla_132,Inkhu_132,36,132,AC,8.016142355,2.7288
Tingla - Okhaldunga,Tingla_132,Okhaldunga_132,28,132,AC,6.234777387,2.1224
Okhaldunga-Mirchiya,Okhaldunga_132,Mirchiya_132,122,132,AC,27.16581576,9.2476
Mirchiya-Lahan,Mirchiya_132,Lahan_132,27,132,AC,5.147770674,2.0466
Rupani-Inaruwa,Rupani_132,Inaruwa_132,30,132,AC,5.852603179,2.1982
Inaruwa-Kataiya,Inaruwa_400,Kataiya_400,15,132,AC,2.926301589,1.6395
Inaruwa-Duhabi,Duhabi_132,Inaruwa_132,30,132,AC,5.852603179,3.279
Inaruwa-Biratnagar,Inaruwa_132,Biratnagar_132,51,132,AC,9.949425404,5.5743
Duhabi-Itahari,Duhabi_132,Itahari_132,42,132,AC,8.19364445,4.5906
Itahari-Dharan,Itahari_132,Dharan_132,30,132,AC,5.852603179,3.279
Hangpang-Kabeli,Hangpang_132,Kabeli_132,19,132,AC,3.896042369,1.4402
Kabeli-Pinaseghat_LILO,Kabeli_132,Pinaseghat_LILO_132,9,132,AC,1.715923558,0.6822
Pinaseghat_LILO-Phidim,Pinaseghat_LILO_132,Phidim_132,14,132,AC,2.669214424,1.0612
phidim-Soyak_tap,Phidim_132,Soyak_tap_132,71,132,AC,13.53673029,5.3818
Illam-Soyak_tap,Soyak_tap_132,Illam_132,7,132,AC,1.334607212,0.5306
Illam-Damak,Damak_132,Soyak_tap_132,66,132,AC,12.58343943,5.0028
Duhabi-Damak,Duhabi_132,Damak_132,50,132,AC,19.9179005,2.735
Damak-Anarmani,Anarmani_132,Damak_132,27,132,AC,11.27080088,2.9511
Anarmani-Bhadrapur,Anarmani_132,Bhadrapur_132,30,132,AC,12.25739612,2.274
Lahan-Rajbiraj,Lahan_132,Rajbiraj_132,29,132,AC,5.52908702,2.1982
Lahan-Rupani,Lahan_132,Rupani_132,28,132,AC,5.462429633,3.0604
Hangpang-Basantapur,Hangpang_220,Basantapur_220,46,220,AC,9.432523629,3.4868
Baneshwor-basantapur,Baneshwor_220,Basantapur_220,21,220,AC,4.198822556,1.1487
Khandabari-Baneshwor,Khandabari_220,Baneshwor_220,10,220,AC,1.999439313,0.547
Sitalpati-Khandabari,Sitalpati_220,Khandabari_220,24,220,AC,4.921316676,1.8192
Arun-Sitalpati,Arun_220,Sitalpati_220,9,220,AC,1.845493754,0.6822
Hangpang-Tamor,Hangpang_220,Tamor_220,23,220,AC,4.598710419,1.2581
Inaruwa-Basantapur,Basantapur_220,Inaruwa_220,148,220,AC,63.21840524,8.0956
Dudhkoshi-Tingla,Tingla_400,Dudhkoshi_400,20,400,AC,4.351193814,1.094
Tingla- Arun,Tingla_400,Arun_400,62,400,AC,13.48870082,3.3914
Mirchiya-Dudhkoshi,Dudhkoshi_400,Mirchiya_400,81,400,AC,15.02932667,4.4307
Arun-U_Arun,U_Arun_400,Arun_400,18,400,AC,3.916074433,0.9846
Hangpang-Mewa,Hangpang_400,Mewa_400,39,400,AC,7.997139599,2.9562
Hangpang-Arun,Arun_400,Hangpang_400,46,400,AC,10.00774577,2.5162
Hangpang-Inaruwa,Hangpang_400,Inaruwa_400,101,400,AC,21.97352876,5.5247
Dudhkoshi_4-Tingla,Tingla_400,Dudhkoshi_4_400,23,400,AC,5.121424282,1.7434
