name,bus0,bus1,length,x,r,carrier,x_pu_eff,r_pu_eff,v_nom,build_year
Tingla- Inkhu,Tingla_132,Inkhu_132,36,8.016142355,2.7288,AC,0.000460063,0.000156612,132,0
Tingla - Okhaldunga,Tingla_132,Okhaldunga_132,28,6.234777387,2.1224,AC,0.000357827,0.000121809,132,0
Okhaldunga-Mirchiya,Okhaldunga_132,Mirchiya_132,122,27.16581576,9.2476,AC,0.001559103,0.000530739,132,0
Mirchiya-Lahan,Mirchiya_132,Lahan_132,27,5.147770674,2.0466,AC,0.000295441,0.000117459,132,0
Rupani-Inaruwa,Rupani_132,Inaruwa_132,30,5.852603179,2.1982,AC,0.000335893,0.000126159,132,0
Inaruwa-Kataiya,Inaruwa_132,Kataiya_132,15,2.926301589,1.6395,AC,0.000167947,9.41E-05,132,0
Inaruwa-Duhabi,Duhabi_132,Inaruwa_132,30,5.852603179,3.279,AC,0.000335893,0.000188189,132,0
Inaruwa-Biratnagar,Inaruwa_132,Biratnagar_132,51,9.949425404,5.5743,AC,0.000571018,0.000319921,132,0
Duhabi-Itahari,Duhabi_132,Itahari_132,42,8.19364445,4.5906,AC,0.00047025,0.000263464,132,0
Itahari-Dharan,Itahari_132,Dharan_132,30,5.852603179,3.279,AC,0.000335893,0.000188189,132,0
Hangpang-Kabeli,Hangpang_132,Kabeli_132,19,3.896042369,1.4402,AC,0.000223602,8.27E-05,132,0
Kabeli-Pinaseghat_LILO,Kabeli_132,Pinaseghat_LILO_132,9,1.715923558,0.6822,AC,9.85E-05,3.92E-05,132,0
Pinaseghat_LILO-Phidim,Pinaseghat_LILO_132,Phidim_132,14,2.669214424,1.0612,AC,0.000153192,6.09E-05,132,0
phidim-Soyak_tap,Phidim_132,Soyak_tap_132,71,13.53673029,5.3818,AC,0.000776901,0.000308873,132,0
Illam-Soyak_tap,Soyak_tap_132,Illam_132,7,1.334607212,0.5306,AC,7.66E-05,3.05E-05,132,0
Illam-Damak,Damak_132,Soyak_tap_132,66,12.58343943,5.0028,AC,0.00072219,0.000287121,132,0
Duhabi-Damak,Duhabi_132,Damak_132,50,19.9179005,2.735,AC,0.00114313,0.000156967,132,0
Damak-Anarmani,Anarmani_132,Damak_132,27,11.27080088,2.9511,AC,0.000646855,0.00016937,132,0
Anarmani-Bhadrapur,Anarmani_132,Bhadrapur_132,30,12.25739612,2.274,AC,0.000703478,0.00013051,132,0
Lahan-Rajbiraj,Lahan_132,Rajbiraj_132,29,5.52908702,2.1982,AC,0.000290332,0.000115427,138,0
Lahan-Rupani,Lahan_132,Rupani_132,28,5.462429633,3.0604,AC,0.000286832,0.000160702,138,0
Hangpang-Basantapur,Hangpang_220,Basantapur_220,46,9.432523629,3.4868,AC,0.000194887,7.20E-05,220,0
Baneshwor-basantapur,Baneshwor_220,Basantapur_220,21,4.198822556,1.1487,AC,8.68E-05,2.37E-05,220,0
Khandabari-Baneshwor,Khandabari_220,Baneshwor_220,10,1.999439313,0.547,AC,4.13E-05,1.13E-05,220,0
Sitalpati-Khandabari,Sitalpati_220,Khandabari_220,24,4.921316676,1.8192,AC,0.00010168,3.76E-05,220,0
Arun-Sitalpati,Arun_220,Sitalpati_220,9,1.845493754,0.6822,AC,3.81E-05,1.41E-05,220,0
Hangpang-Tamor,Hangpang_220,Tamor_220,23,4.598710419,1.2581,AC,9.50E-05,2.60E-05,220,0
Inaruwa-Basantapur,Basantapur_220,Inaruwa_220,148,63.21840524,8.0956,AC,0.001306165,0.000167264,220,0
Dudhkoshi-Tingla,Tingla_400,Dudhkoshi_400,20,4.351193814,1.094,AC,2.72E-05,6.84E-06,400,0
Tingla- Arun,Tingla_400,Arun_400,62,13.48870082,3.3914,AC,8.43E-05,2.12E-05,400,0
Mirchiya-Dudhkoshi,Dudhkoshi_400,Mirchiya_400,81,15.02932667,4.4307,AC,9.39E-05,2.77E-05,400,0
Arun-U_Arun,U_Arun_400,Arun_400,18,3.916074433,0.9846,AC,2.45E-05,6.15E-06,400,0
Hangpang-Mewa,Hangpang_400,Mewa_400,39,7.997139599,2.9562,AC,5.00E-05,1.85E-05,400,0
Hangpang-Arun,Arun_400,Hangpang_400,46,10.00774577,2.5162,AC,6.25E-05,1.57E-05,400,0
Hangpang-Inaruwa,Hangpang_400,Inaruwa_400,101,21.97352876,5.5247,AC,0.000137335,3.45E-05,400,0
Dudhkoshi_4-Tingla,Tingla_400,Dudhkoshi_4_400,23,5.121424282,1.7434,AC,3.20E-05,1.09E-05,400,0
