name,bus0,bus1,length,v_nom,carrier,x,r,captial_cost,lifetime,,,,s_max
Tingla- Inkhu,Tingla_132,Inkhu_132,36,132,AC,8.016142355,2.7288,330,40,,Tingla- Inkhu,19.5945884000179,100
Tingla - Okhaldunga,Tingla_132,Okhaldunga_132,28,132,AC,6.234777387,2.1224,330,40,,Tingla - Okhaldunga,241.528833173018,
Okhaldunga-Mirchiya,Okhaldunga_132,Mirchiya_132,122,132,AC,27.16581576,9.2476,330,40,,Okhaldunga-Mirchiya,2.86304299558316,
Mirchiya-Lahan,Mirchiya_132,Lahan_132,27,132,AC,5.147770674,2.0466,330,40,,Mirchiya-Lahan,22.6773596294446,
Rupani-Inaruwa,Rupani_132,Inaruwa_132,30,132,AC,5.852603179,2.1982,330,40,,Rupani-Inaruwa,5.35292678179881,
Inaruwa-Kataiya,Inaruwa_400,Kataiya_400,15,132,AC,2.926301589,1.6395,330,40,,Inaruwa-Kataiya,0,
Inaruwa-Duhabi,Duhabi_132,Inaruwa_132,30,132,AC,5.852603179,3.279,330,40,,Inaruwa-Duhabi,15.8035532848161,
Inaruwa-Biratnagar,Inaruwa_132,Biratnagar_132,51,132,AC,9.949425404,5.5743,330,40,,Inaruwa-Biratnagar,45.8914469571457,
Duhabi-Itahari,Duhabi_132,Itahari_132,42,132,AC,8.19364445,4.5906,330,40,,Duhabi-Itahari,36.7246774092797,
Itahari-Dharan,Itahari_132,Dharan_132,30,132,AC,5.852603179,3.279,330,40,,Itahari-Dharan,12.2468592537205,
Hangpang-Kabeli,Hangpang_132,Kabeli_132,19,132,AC,3.896042369,1.4402,330,40,,Hangpang-Kabeli,4.92600534637282,
Kabeli-Pinaseghat_LILO,Kabeli_132,Pinaseghat_LILO_132,9,132,AC,1.715923558,0.6822,330,40,,Kabeli-Pinaseghat_LILO,4.92348590073335,
Pinaseghat_LILO-Phidim,Pinaseghat_LILO_132,Phidim_132,14,132,AC,2.669214424,1.0612,330,40,,Pinaseghat_LILO-Phidim,40.5664393322369,
phidim-Soyak_tap,Phidim_132,Soyak_tap_132,71,132,AC,13.53673029,5.3818,330,40,,phidim-Soyak_tap,40.4606111965151,
Illam-Soyak_tap,Soyak_tap_132,Illam_132,7,132,AC,1.334607212,0.5306,330,40,,Illam-Soyak_tap,9.20522261957837,
Illam-Damak,Damak_132,Soyak_tap_132,66,132,AC,12.58343943,5.0028,330,40,,Illam-Damak,7.91810181932175,
Duhabi-Damak,Duhabi_132,Damak_132,50,132,AC,19.9179005,2.735,330,40,,Duhabi-Damak,21.1549398694146,
Damak-Anarmani,Anarmani_132,Damak_132,27,132,AC,11.27080088,2.9511,330,40,,Damak-Anarmani,25.8684167364341,
Anarmani-Bhadrapur,Anarmani_132,Bhadrapur_132,30,132,AC,12.25739612,2.274,330,40,,Anarmani-Bhadrapur,8.00864951415978,
Lahan-Rajbiraj,Lahan_132,Rajbiraj_132,29,132,AC,5.52908702,2.1982,330,40,,Lahan-Rajbiraj,7.60862834765634,
Lahan-Rupani,Lahan_132,Rupani_132,28,132,AC,5.462429633,3.0604,330,40,,Lahan-Rupani,3.56284994205883,
Hangpang-Basantapur,Hangpang_220,Basantapur_220,46,220,AC,9.432523629,3.4868,550,40,,Hangpang-Basantapur,26.9585310951059,
Baneshwor-basantapur,Baneshwor_220,Basantapur_220,21,220,AC,4.198822556,1.1487,550,40,,Baneshwor-basantapur,1.61171151922828,
Khandabari-Baneshwor,Khandabari_220,Baneshwor_220,10,220,AC,1.999439313,0.547,550,40,,Khandabari-Baneshwor,1.61175214528758,
Sitalpati-Khandabari,Sitalpati_220,Khandabari_220,24,220,AC,4.921316676,1.8192,550,40,,Sitalpati-Khandabari,1.61188725852513,
Arun-Sitalpati,Arun_220,Sitalpati_220,9,220,AC,1.845493754,0.6822,550,40,,Arun-Sitalpati,1.61193792598795,
Hangpang-Tamor,Hangpang_220,Tamor_220,23,220,AC,4.598710419,1.2581,550,40,,Hangpang-Tamor,129.44100275635,
Inaruwa-Basantapur,Basantapur_220,Inaruwa_220,148,220,AC,63.21840524,8.0956,550,40,,Inaruwa-Basantapur,12.6030929644323,
Dudhkoshi-Tingla,Tingla_400,Dudhkoshi_400,20,400,AC,4.351193814,1.094,1000,40,,Dudhkoshi-Tingla,48.7030913104834,
Tingla- Arun,Tingla_400,Arun_400,62,400,AC,13.48870082,3.3914,1000,40,,Tingla- Arun,46.4254283459497,
Mirchiya-Dudhkoshi,Dudhkoshi_400,Mirchiya_400,81,400,AC,15.02932667,4.4307,1000,40,,Mirchiya-Dudhkoshi,48.6859339372069,
Arun-U_Arun,U_Arun_400,Arun_400,18,400,AC,3.916074433,0.9846,1000,40,,Arun-U_Arun,30.0000000000104,
Hangpang-Mewa,Hangpang_400,Mewa_400,39,400,AC,7.997139599,2.9562,1000,40,,Hangpang-Mewa,33.2517641378838,
Hangpang-Arun,Arun_400,Hangpang_400,46,400,AC,10.00774577,2.5162,1000,40,,Hangpang-Arun,25.6110269318345,
Hangpang-Inaruwa,Hangpang_400,Inaruwa_400,101,400,AC,21.97352876,5.5247,1000,40,,Hangpang-Inaruwa,132.346882930431,
Dudhkoshi_4-Tingla,Tingla_400,Dudhkoshi_4_400,23,400,AC,5.121424282,1.7434,1000,40,,Dudhkoshi_4-Tingla,2.17682079474698E-13,
